V1 V2 V3 V5 V6 V11 V12 V14 V15
1 cell1_MACS_peak_100 5 5 6 9 7 11 9 10
2 cell1_MACS_peak_10000 3 4 4 3 14 17 19 16
3 cell1_MACS_peak_10001 4 2 6 8 22 18 22 21
4 cell1_MACS_peak_10006 9 8 14 11 34 30 32 36
5 cell1_MACS_peak_10013 3 3 6 5 10 10 9 11
6 cell1_MACS_peak_10017 1 3 4 5 12 10 14 11
7 cell1_MACS_peak_1002 3 0 2 2 14 12 15 16
8 cell1_MACS_peak_10028 14 14 14 17 17 18 21 18
9 cell1_MACS_peak_10031 16 15 19 20 42 28 37 37
10 cell1_MACS_peak_10032 3 5 1 3 15 14 11 9
11 cell1_MACS_peak_10045 6 8 6 8 26 18 21 26
12 cell1_MACS_peak_10051 1 2 1 1 9 8 8 11
13 cell1_MACS_peak_10054 8 8 8 10 12 13 11 18
14 cell1_MACS_peak_10059 1 5 4 4 12 4 9 11
15 cell1_MACS_peak_1006 7 7 10 8 14 13 16 15
16 cell1_MACS_peak_10060 2 6 7 6 12 17 14 16
17 cell1_MACS_peak_10074 2 4 4 1 13 10 14 10
18 cell1_MACS_peak_10075 3 5 5 8 11 11 12 11
19 cell1_MACS_peak_10085 3 6 4 8 15 14 21 17
20 cell1_MACS_peak_10097 17 17 10 15 25 20 25 22
21 cell1_MACS_peak_1010 14 20 16 16 30 34 36 30
22 cell1_MACS_peak_10105 11 13 16 13 17 21 24 26
23 cell1_MACS_peak_10111 7 3 6 3 11 13 12 15
24 cell1_MACS_peak_10114 3 2 4 1 12 18 15 13
25 cell1_MACS_peak_10123 7 9 12 13 34 27 30 34
26 cell1_MACS_peak_10128 4 4 7 13 25 25 27 32
27 cell1_MACS_peak_10131 9 11 12 13 32 34 37 34
28 cell1_MACS_peak_10139 3 4 8 6 16 18 23 23
29 cell1_MACS_peak_10146 4 1 7 5 23 18 26 21
30 cell1_MACS_peak_10151 12 11 17 18 33 31 26 33
31 cell1_MACS_peak_10155 6 5 5 7 12 19 13 15
32 cell1_MACS_peak_10156 6 5 6 3 19 15 17 17
33 cell1_MACS_peak_10159 5 5 7 6 22 22 25 19
34 cell1_MACS_peak_10169 7 6 9 8 16 20 21 20
35 cell1_MACS_peak_1017 5 5 8 6 18 19 20 16
36 cell1_MACS_peak_10175 4 5 4 4 8 6 9 6
37 cell1_MACS_peak_10180 11 15 16 11 17 23 28 25
38 cell1_MACS_peak_10181 8 8 9 8 12 16 13 11
39 cell1_MACS_peak_10191 22 19 22 16 47 43 51 53
40 cell1_MACS_peak_10197 4 2 7 3 11 11 12 14
41 cell1_MACS_peak_102 13 12 10 12 17 21 26 28
