V1 V2 V3 V5 V6 V11 V12 V14 V15
1 cell1_MACS_peak_100 11 9 8 11 9 9 6 9
2 cell1_MACS_peak_10000 5 7 8 9 13 15 14 18
3 cell1_MACS_peak_10001 5 5 9 9 12 10 15 14
4 cell1_MACS_peak_10006 9 9 11 10 12 14 14 7
5 cell1_MACS_peak_10013 13 15 10 13 12 10 8 8
6 cell1_MACS_peak_10017 13 13 12 10 12 16 13 15
7 cell1_MACS_peak_1002 8 9 8 8 13 10 10 11
8 cell1_MACS_peak_10028 21 21 21 20 20 22 20 25
9 cell1_MACS_peak_10031 23 21 27 23 22 24 25 25
10 cell1_MACS_peak_10032 10 14 9 12 8 14 10 8
11 cell1_MACS_peak_10045 11 15 15 18 15 18 16 12
12 cell1_MACS_peak_10051 6 8 6 6 5 6 6 8
13 cell1_MACS_peak_10054 12 7 9 9 11 10 11 10
14 cell1_MACS_peak_10059 16 15 14 15 13 12 14 12
15 cell1_MACS_peak_1006 7 6 7 5 7 8 7 6
16 cell1_MACS_peak_10060 12 14 12 14 12 10 13 12
17 cell1_MACS_peak_10074 10 9 8 9 10 8 12 12
18 cell1_MACS_peak_10075 14 11 12 9 3 5 6 7
19 cell1_MACS_peak_10085 23 19 20 19 12 9 11 6
20 cell1_MACS_peak_10097 13 12 13 9 7 11 10 12
21 cell1_MACS_peak_1010 3 5 3 6 12 17 15 16
22 cell1_MACS_peak_10105 9 6 8 8 7 8 9 13
23 cell1_MACS_peak_10111 11 12 10 8 6 9 9 7
24 cell1_MACS_peak_10114 16 14 12 12 11 14 11 13
25 cell1_MACS_peak_10123 19 18 16 18 21 21 20 20
26 cell1_MACS_peak_10128 13 16 16 18 34 34 38 31
27 cell1_MACS_peak_10131 9 8 13 16 24 24 22 26
28 cell1_MACS_peak_10139 18 18 18 16 17 10 18 15
29 cell1_MACS_peak_10146 7 6 7 7 7 7 8 8
30 cell1_MACS_peak_10151 13 11 12 12 7 7 11 14
31 cell1_MACS_peak_10155 11 12 5 8 8 7 9 6
32 cell1_MACS_peak_10156 2 2 7 3 10 10 11 9
33 cell1_MACS_peak_10159 10 11 12 10 7 11 12 5
34 cell1_MACS_peak_10169 10 11 10 13 13 11 15 13
35 cell1_MACS_peak_1017 16 16 13 15 12 12 12 14
36 cell1_MACS_peak_10175 1 1 1 1 2 3 2 2
37 cell1_MACS_peak_10180 2 2 4 3 4 5 7 6
38 cell1_MACS_peak_10181 19 19 18 18 18 14 17 15
39 cell1_MACS_peak_10191 14 12 11 15 22 18 18 20
40 cell1_MACS_peak_10197 13 12 12 13 10 12 9 11
41 cell1_MACS_peak_102 9 10 8 13 14 17 17 14
42 cell1_MACS_peak_10210 10 7 14 11 10 8 13 12
43 cell1_MACS_peak_10224 4 4 5 5 6 6 7 8
44 cell1_MACS_peak_10234 10 10 9 9 4 7 5 7
45 cell1_MACS_peak_10236 10 9 8 7 12 9 17 11
46 cell1_MACS_peak_10241 17 17 20 22 14 14 15 14
47 cell1_MACS_peak_10245 10 11 10 12 8 9 8 6
48 cell1_MACS_peak_1028 22 23 24 22 28 14 17 18
49 cell1_MACS_peak_10282 10 9 8 11 13 9 11 11
50 cell1_MACS_peak_10283 18 18 20 14 24 23 24 23
51 cell1_MACS_peak_10284 11 13 12 10 12 16 11 11
52 cell1_MACS_peak_1029 7 6 8 8 12 15 12 11
53 cell1_MACS_peak_10297 9 10 9 10 8 10 10 12
54 cell1_MACS_peak_1030 19 18 19 22 17 18 17 17
55 cell1_MACS_peak_10305 8 11 11 13 12 13 17 18
56 cell1_MACS_peak_10315 8 5 5 6 8 9 7 8
57 cell1_MACS_peak_10325 9 11 8 11 14 17 14 11
58 cell1_MACS_peak_10332 8 6 7 8 9 9 6 10
59 cell1_MACS_peak_10337 10 9 8 9 10 12 9 9
60 cell1_MACS_peak_10339 8 11 9 8 6 7 4 6
61 cell1_MACS_peak_10343 15 12 12 10 9 6 8 8
62 cell1_MACS_peak_10344 12 10 15 10 18 21 21 17
63 cell1_MACS_peak_10355 12 12 12 10 15 13 13 15
64 cell1_MACS_peak_10356 7 7 10 13 11 14 12 12
65 cell1_MACS_peak_10357 15 14 14 12 14 18 19 18
66 cell1_MACS_peak_10359 12 13 9 6 9 7 11 12
67 cell1_MACS_peak_10360 6 2 5 5 12 8 13 8
68 cell1_MACS_peak_10365 10 12 12 10 12 6 11 12
69 cell1_MACS_peak_10368 16 17 11 15 7 9 6 7
70 cell1_MACS_peak_1037 11 8 10 10 18 19 19 17
71 cell1_MACS_peak_10373 18 19 20 18 11 10 8 7
72 cell1_MACS_peak_1038 11 12 11 11 6 8 7 6
73 cell1_MACS_peak_10381 20 19 18 21 16 17 16 14
74 cell1_MACS_peak_10384 16 10 11 12 18 17 18 18
75 cell1_MACS_peak_10387 7 9 9 9 9 11 11 10
76 cell1_MACS_peak_10391 10 10 9 9 15 14 15 12
77 cell1_MACS_peak_10394 14 16 18 16 18 27 26 26
78 cell1_MACS_peak_1040 11 11 13 9 10 10 8 7
79 cell1_MACS_peak_10400 19 18 14 17 10 6 9 11
80 cell1_MACS_peak_10401 16 16 18 16 7 10 8 11
81 cell1_MACS_peak_10402 8 8 4 8 2 3 1 2
82 cell1_MACS_peak_10410 17 16 15 10 12 14 10 12
83 cell1_MACS_peak_10413 13 12 13 12 12 10 16 13
84 cell1_MACS_peak_10423 11 13 14 18 12 8 13 12
85 cell1_MACS_peak_10425 11 10 10 10 25 24 28 30
86 cell1_MACS_peak_10426 14 16 11 16 28 29 31 39
87 cell1_MACS_peak_10430 16 15 14 17 9 13 7 14
88 cell1_MACS_peak_10439 10 6 8 6 24 20 25 22
89 cell1_MACS_peak_10440 9 8 13 12 24 19 25 25
90 cell1_MACS_peak_10443 9 10 12 11 21 20 23 21
91 cell1_MACS_peak_10445 14 19 11 15 16 20 18 17
92 cell1_MACS_peak_10454 9 10 9 11 6 4 7 5
93 cell1_MACS_peak_10478 10 13 13 11 15 15 17 18
94 cell1_MACS_peak_10479 17 14 16 12 15 10 14 13
95 cell1_MACS_peak_10482 15 16 17 17 13 10 13 13
96 cell1_MACS_peak_10499 14 17 17 18 17 18 15 19
97 cell1_MACS_peak_10501 5 5 5 6 5 8 9 7
98 cell1_MACS_peak_10503 10 10 15 13 15 12 9 11
99 cell1_MACS_peak_10504 15 18 14 16 24 22 23 27
100 cell1_MACS_peak_10506 8 9 8 8 9 6 8 7
101 cell1_MACS_peak_10507 14 14 19 10 22 22 21 24
102 cell1_MACS_peak_10513 12 11 10 15 8 7 9 14
103 cell1_MACS_peak_10519 12 13 13 13 26 14 17 15
104 cell1_MACS_peak_10522 11 12 11 12 9 9 8 8
105 cell1_MACS_peak_10527 12 10 9 8 10 7 6 9
106 cell1_MACS_peak_10528 6 5 5 4 4 6 4 6
107 cell1_MACS_peak_10529 11 10 11 13 12 11 12 9
108 cell1_MACS_peak_1053 5 6 6 7 11 11 12 11
109 cell1_MACS_peak_10530 23 21 23 22 11 18 18 12
110 cell1_MACS_peak_10534 17 16 20 13 14 23 20 18
111 cell1_MACS_peak_1054 23 22 22 16 20 16 22 18
112 cell1_MACS_peak_10540 13 16 13 13 12 18 10 15
113 cell1_MACS_peak_10541 8 6 8 5 9 9 7 8
114 cell1_MACS_peak_10552 16 14 16 19 15 12 10 11
115 cell1_MACS_peak_10561 9 9 10 16 19 19 14 21
116 cell1_MACS_peak_10574 9 8 7 11 11 12 12 12
117 cell1_MACS_peak_10576 4 5 6 5 9 11 9 10
118 cell1_MACS_peak_10579 10 13 14 8 8 8 10 8
119 cell1_MACS_peak_1058 18 16 17 15 16 10 13 13
120 cell1_MACS_peak_10581 8 8 8 7 9 7 7 7
121 cell1_MACS_peak_10591 14 12 13 14 10 9 10 9
122 cell1_MACS_peak_10598 12 13 13 11 21 15 16 17
123 cell1_MACS_peak_10600 17 17 15 11 20 19 19 21
124 cell1_MACS_peak_10602 10 10 12 8 4 7 5 6
125 cell1_MACS_peak_10607 10 9 8 11 9 10 10 9
126 cell1_MACS_peak_10612 21 22 21 28 21 17 23 23
127 cell1_MACS_peak_10615 18 17 20 20 18 17 19 16
128 cell1_MACS_peak_1062 17 15 18 15 13 12 12 8
129 cell1_MACS_peak_10648 9 6 7 6 12 16 15 19
130 cell1_MACS_peak_10650 11 11 8 10 8 9 7 9
131 cell1_MACS_peak_10656 12 9 9 9 12 9 13 10
132 cell1_MACS_peak_10658 12 8 8 11 10 8 10 8
133 cell1_MACS_peak_10663 10 9 9 11 8 9 12 10
134 cell1_MACS_peak_10666 5 6 9 7 13 13 14 13
135 cell1_MACS_peak_10667 13 11 13 11 11 8 9 12
136 cell1_MACS_peak_10668 13 14 11 9 8 13 7 12
137 cell1_MACS_peak_10673 12 11 14 16 19 22 23 18
138 cell1_MACS_peak_10674 12 11 18 17 33 30 34 36
139 cell1_MACS_peak_10677 16 13 15 16 20 27 33 28
140 cell1_MACS_peak_10678 12 14 16 12 15 12 17 14
141 cell1_MACS_peak_10679 12 11 12 13 9 12 5 6
142 cell1_MACS_peak_10680 3 4 7 5 7 9 8 10
143 cell1_MACS_peak_1069 14 16 14 13 16 14 15 13
144 cell1_MACS_peak_10707 10 12 12 8 13 19 24 21
145 cell1_MACS_peak_10709 7 8 6 11 25 22 26 26
146 cell1_MACS_peak_1072 24 28 25 30 22 25 19 23
147 cell1_MACS_peak_10721 11 10 12 11 9 13 10 11
148 cell1_MACS_peak_10728 9 12 10 11 17 18 14 18
149 cell1_MACS_peak_10730 12 12 9 8 4 6 4 3
150 cell1_MACS_peak_10733 12 10 16 13 16 18 16 16
151 cell1_MACS_peak_10734 13 9 13 17 13 14 16 14
152 cell1_MACS_peak_10741 10 6 8 7 10 8 10 14
153 cell1_MACS_peak_10747 10 5 11 6 8 11 10 8
154 cell1_MACS_peak_10751 12 14 12 11 9 12 11 9
155 cell1_MACS_peak_10752 12 10 10 11 16 16 16 15
156 cell1_MACS_peak_10757 6 9 9 10 18 14 16 16
157 cell1_MACS_peak_10758 14 12 13 14 10 10 8 9
158 cell1_MACS_peak_10759 9 10 14 12 12 20 18 17
159 cell1_MACS_peak_10762 10 8 15 7 17 15 14 17
160 cell1_MACS_peak_10764 11 8 11 9 10 8 9 10
161 cell1_MACS_peak_10772 11 13 11 11 23 16 17 16
162 cell1_MACS_peak_10776 6 5 11 6 11 13 13 10
163 cell1_MACS_peak_10777 10 9 10 10 14 12 15 11
164 cell1_MACS_peak_10778 15 15 10 12 10 9 9 9
165 cell1_MACS_peak_10789 8 11 9 9 14 15 13 11
166 cell1_MACS_peak_1079 12 12 15 14 15 14 16 12
167 cell1_MACS_peak_10801 11 8 10 12 15 13 10 17
168 cell1_MACS_peak_10804 17 16 14 19 22 26 25 25
169 cell1_MACS_peak_10808 7 9 9 9 11 10 11 11
170 cell1_MACS_peak_1081 17 17 13 16 12 10 13 12
171 cell1_MACS_peak_10811 18 19 19 22 21 26 25 21
172 cell1_MACS_peak_10813 11 7 10 6 25 24 31 26
173 cell1_MACS_peak_10817 22 20 26 22 28 21 27 24
174 cell1_MACS_peak_10824 14 15 17 17 23 17 22 21
175 cell1_MACS_peak_10833 12 10 12 14 7 10 8 14
176 cell1_MACS_peak_10836 7 6 9 6 8 9 8 9
177 cell1_MACS_peak_10843 15 16 13 17 27 27 26 26
178 cell1_MACS_peak_10860 18 19 18 16 12 16 15 15
179 cell1_MACS_peak_10864 28 25 27 24 15 15 15 17
180 cell1_MACS_peak_10867 13 13 14 15 24 20 24 24
181 cell1_MACS_peak_10879 18 22 15 18 19 21 18 19
182 cell1_MACS_peak_10881 19 24 23 20 41 31 35 34
183 cell1_MACS_peak_109 16 13 12 13 15 14 15 15
184 cell1_MACS_peak_10906 16 16 17 16 22 17 16 19
185 cell1_MACS_peak_10910 12 12 18 12 31 27 29 32
186 cell1_MACS_peak_10916 11 10 12 16 9 12 13 11
187 cell1_MACS_peak_10927 9 11 13 11 15 12 8 14
188 cell1_MACS_peak_1093 10 10 8 10 6 6 6 4
189 cell1_MACS_peak_10932 12 14 13 13 14 17 12 15
190 cell1_MACS_peak_10934 9 7 7 9 11 9 10 7
191 cell1_MACS_peak_10938 7 7 9 8 12 14 12 15
192 cell1_MACS_peak_10940 16 16 19 15 31 36 38 35
193 cell1_MACS_peak_10941 19 19 21 22 18 16 19 19
194 cell1_MACS_peak_10942 12 12 14 12 16 17 19 17
195 cell1_MACS_peak_10943 18 21 22 24 24 24 25 25
196 cell1_MACS_peak_10947 12 13 12 12 15 18 14 10
197 cell1_MACS_peak_10951 13 12 17 18 26 27 23 25
198 cell1_MACS_peak_10953 15 16 15 18 21 22 20 15
199 cell1_MACS_peak_10958 16 13 15 15 18 13 19 18
200 cell1_MACS_peak_1096 22 23 23 18 17 11 15 16
201 cell1_MACS_peak_10967 12 13 15 16 12 13 11 12
202 cell1_MACS_peak_10974 6 6 7 7 11 6 9 11
203 cell1_MACS_peak_10979 7 10 11 9 17 15 15 16
204 cell1_MACS_peak_10984 20 20 16 16 18 14 8 11
205 cell1_MACS_peak_10986 8 9 8 9 12 11 13 13
206 cell1_MACS_peak_10991 15 10 9 16 12 11 12 10
