V1 V2 V3 V4
189 chr1 7327684 7327905 cell1_MACS_peak_100
6313 chr12 44976263 44976774 cell1_MACS_peak_10000
4248 chr12 45222749 45223207 cell1_MACS_peak_10001
4515 chr12 45584976 45585404 cell1_MACS_peak_10006
7300 chr12 45804713 45805068 cell1_MACS_peak_10013
2204 chr12 46093199 46093573 cell1_MACS_peak_10017
2588 chr1 43814843 43815335 cell1_MACS_peak_1002
4849 chr12 46696741 46697158 cell1_MACS_peak_10028
1398 chr12 46780122 46780859 cell1_MACS_peak_10031
3263 chr12 46813415 46813881 cell1_MACS_peak_10032
707 chr12 47202147 47202670 cell1_MACS_peak_10045
3767 chr12 47435034 47435423 cell1_MACS_peak_10051
5576 chr12 47578775 47579213 cell1_MACS_peak_10054
8668 chr12 47796543 47796880 cell1_MACS_peak_10059
996 chr1 43938109 43938368 cell1_MACS_peak_1006
1873 chr12 47808844 47809177 cell1_MACS_peak_10060
4688 chr12 48303836 48304230 cell1_MACS_peak_10074
7079 chr12 48325775 48326089 cell1_MACS_peak_10075
2703 chr12 49133670 49134098 cell1_MACS_peak_10085
7725 chr12 49661343 49661939 cell1_MACS_peak_10097
7296 chr1 44013815 44014511 cell1_MACS_peak_1010
1293 chr12 50036087 50036655 cell1_MACS_peak_10105
6984 chr12 50330722 50331130 cell1_MACS_peak_10111
3624 chr12 50476267 50476753 cell1_MACS_peak_10114
5348 chr12 50653273 50653982 cell1_MACS_peak_10123
8550 chr12 50790158 50790659 cell1_MACS_peak_10128
8516 chr12 50920624 50921265 cell1_MACS_peak_10131
4102 chr12 51146073 51146515 cell1_MACS_peak_10139
3764 chr12 51459472 51459771 cell1_MACS_peak_10146
2857 chr12 51765155 51765873 cell1_MACS_peak_10151
3561 chr12 51969034 51969417 cell1_MACS_peak_10155
7948 chr12 51979959 51980293 cell1_MACS_peak_10156
751 chr12 52186949 52187470 cell1_MACS_peak_10159
6719 chr12 52585854 52586396 cell1_MACS_peak_10169
2009 chr1 44326968 44327454 cell1_MACS_peak_1017
5058 chr12 52729884 52730106 cell1_MACS_peak_10175
9618 chr12 52936674 52937102 cell1_MACS_peak_10180
1033 chr12 52989632 52989959 cell1_MACS_peak_10181
792 chr12 53320737 53321578 cell1_MACS_peak_10191
